市名,町名,フリガナ
奈良市,四条大路,シジョウオオジ
奈良市,四条大路南町,シジョウオオジミナミマチ
奈良市,七条,シチジョウ
奈良市,七条町,シチジョウチョウ
奈良市,七条西町,シチジョウニシマチ
奈良市,七条東町,シチジョウヒガシマチ
奈良市,芝突抜町,シバツキヌケチョウ
奈良市,芝辻町,シバツジチョウ
奈良市,芝新屋町,シバノシンヤチョウ
奈良市,柴屋町,シバヤチョウ
奈良市,下狭川町,シモサガワチョウ
奈良市,下三条町,シモサンジョウチョウ
奈良市,下深川町,シモフカワチョウ
奈良市,下御門町,シモミカドチョウ
奈良市,宿院町,シュクインチョウ
奈良市,勝南院町,ショウナミチョウ
奈良市,菖蒲池町,ショウブイケチョウ
奈良市,松陽台,ショウヨウダイ
奈良市,十輪院町,ジュウリインチョウ
奈良市,十輪院畑町,ジュウリインハタチョウ
奈良市,神功,ジングウ
奈良市,水門町,スイモンチョウ
奈良市,菅野台,スガノダイ
奈良市,菅原町,スガハラチョウ
奈良市,菅原東,スガハラヒガシ
奈良市,須川町,スガワチョウ
奈良市,朱雀,スザク
奈良市,須山町,スヤマチョウ
奈良市,杉ヶ町,スルガマチ
奈良市,誓多林町,セタリンチョウ
奈良市,園田町,ソノダチョウ
奈良市,杣ノ川町,ソマノカワチョウ
奈良市,雑司町,ゾウシチョウ
奈良市,高畑町,タカバタケチョウ
奈良市,高樋町,タカヒチョウ
奈良市,高天市町,タカマイチチョウ
奈良市,高天町,タカマチョウ
奈良市,高御門町,タカミカドチョウ
奈良市,田中町,タナカチョウ
奈良市,多門町,タモンチョウ
奈良市,樽井町,タルイチョウ
奈良市,田原春日野町,タワラカスガノチョウ
奈良市,大安寺,ダイアンジ
奈良市,大安寺町,ダイアンジチョウ
奈良市,大安寺西,ダイアンジニシ
奈良市,大慈仙町,ダイジセンチョウ
奈良市,中院町,チュウインチョウ
奈良市,千代ヶ丘,チヨガオカ
奈良市,月ヶ瀬石打,ツキガセイシウチ
奈良市,月ヶ瀬尾山,ツキガセオヤマ
奈良市,月ヶ瀬嵩,ツキガセダケ
奈良市,月ヶ瀬月瀬,ツキガセツキセ
奈良市,月ヶ瀬長引,ツキガセナガヒキ
奈良市,月ヶ瀬桃香野,ツキガセモモガノ
奈良市,都祁小山戸町,ツゲオヤマトチョウ
奈良市,都祁甲岡町,ツゲコウカチョウ
奈良市,都祁こぶしが丘,ツゲコブシガオカ
奈良市,都祁白石町,ツゲシライシチョウ
奈良市,都祁相河町,ツゲソウゴチョウ
奈良市,都祁友田町,ツゲトモダチョウ
奈良市,都祁吐山町,ツゲハヤマチョウ
奈良市,都祁馬場町,ツゲババチョウ
奈良市,都祁南之庄町,ツゲミナミノショウチョウ
奈良市,築地之内町,ツジノウチチョウ
奈良市,角振新屋町,ツノフリシンヤチョウ
奈良市,角振町,ツノフリチョウ
奈良市,椿井町,ツバイチョウ
奈良市,鶴福院町,ツルフクインチョウ
奈良市,鶴舞西町,ツルマイニシマチ
奈良市,鶴舞東町,ツルマイヒガシマチ
奈良市,手貝町,テガイチョウ
奈良市,帝塚山,テヅカヤマ
奈良市,帝塚山中町,テヅカヤマナカマチ
奈良市,帝塚山西,テヅカヤマニシ
奈良市,帝塚山南,テヅカヤマミナミ
奈良市,寺町,テラマチ
奈良市,出屋敷町,デヤシキチョウ
奈良市,東九条町,トウクジョウチョウ
奈良市,富雄泉ヶ丘,トミオイズミガオカ
奈良市,富雄川西,トミオカワニシ
奈良市,富雄北,トミオキタ
奈良市,富雄元町,トミオモトマチ
奈良市,登美ヶ丘,トミガオカ
奈良市,鳥見町,トリミチョウ
奈良市,中筋町,ナカスジチョウ
奈良市,中辻町,ナカツジチョウ
奈良市,中貫町,ナカヅラチョウ
奈良市,中登美ヶ丘,ナカトミガオカ
奈良市,中ノ川町,ナカノカワチョウ
奈良市,中之庄町,ナカノショウチョウ
奈良市,中新屋町,ナカノシンヤチョウ
奈良市,中畑町,ナカハタチョウ
奈良市,中町,ナカマチ
奈良市,中御門町,ナカミカドチョウ
奈良市,中山町,ナカヤマチョウ
奈良市,長谷町,ナガタニチョウ
奈良市,内侍原町,ナシハラチョウ
奈良市,鍋屋町,ナベヤチョウ
奈良市,奈保町,ナホチョウ
奈良市,奈良阪町,ナラザカチョウ
奈良市,鳴川町,ナルカワチョウ
奈良市,西包永町,ニシカネナガチョウ
奈良市,西木辻町,ニシキツジチョウ
奈良市,西紀寺町,ニシキデラチョウ
奈良市,西狭川町,ニシサガワチョウ
奈良市,西笹鉾町,ニシササボコチョウ
奈良市,西新在家号所町,ニシシンザイケゴウショチョウ
奈良市,西新在家町,ニシシンザイケチョウ
奈良市,西城戸町,ニシジョウドチョウ
奈良市,西千代ヶ丘,ニシチヨガオカ
奈良市,西寺林町,ニシテラバヤシチョウ
奈良市,西登美ヶ丘,ニシトミガオカ
奈良市,西ノ京町,ニシノキョウチョウ
奈良市,西之阪町,ニシノサカチョウ
奈良市,西新屋町,ニシノシンヤチョウ
奈良市,西御門町,ニシミカドチョウ
奈良市,二条大路南,ニジョウオオジミナミ
奈良市,二条町,ニジョウチョウ
奈良市,二名,ニミョウ
奈良市,二名町,ニミョウチョウ
奈良市,二名東町,ニミョウヒガシマチ
奈良市,二名平野,ニミョウヒラノ
奈良市,丹生町,ニュウチョウ
奈良市,忍辱山町,ニンニクセンチョウ
奈良市,納院町,ノウインチョウ
奈良市,登大路町,ノボリオオジチョウ
奈良市,橋本町,ハシモトチョウ
奈良市,畑中町,ハタケナカチョウ
奈良市,八条,ハチジョウ
奈良市,八条町,ハチジョウチョウ
奈良市,鉢伏町,ハチブセチョウ
奈良市,花芝町,ハナシバチョウ
奈良市,花園町,ハナゾノチョウ
奈良市,林小路町,ハヤシコウジチョウ
奈良市,針ヶ別所町,ハリガベッショチョウ
奈良市,針町,ハリチョウ
奈良市,半田突抜町,ハンダツキヌケチョウ
奈良市,半田開町,ハンダビラキチョウ
奈良市,半田横町,ハンダヨコマチ
奈良市,般若寺町,ハンニャジチョウ
奈良市,馬場町,ババチョウ
奈良市,日笠町,ヒガサチョウ
奈良市,東包永町,ヒガシカネナガチョウ
奈良市,東木辻町,ヒガシキツジチョウ
奈良市,東紀寺町,ヒガシキデラチョウ
奈良市,東笹鉾町,ヒガシササボコチョウ
奈良市,東新在家町,ヒガシシンザイケチョウ
奈良市,東城戸町,ヒガシジョウドチョウ
奈良市,東寺林町,ヒガシテラバヤシチョウ
奈良市,東登美ヶ丘,ヒガシトミガオカ
奈良市,東鳴川町,ヒガシナルカワチョウ
奈良市,東之阪町,ヒガシノサカチョウ
奈良市,東向北町,ヒガシムキキタマチ
奈良市,東向中町,ヒガシムキナカマチ
奈良市,東向南町,ヒガシムキミナミマチ
奈良市,疋田町,ヒキダチョウ
奈良市,百楽園,ヒャクラクエン
奈良市,平清水町,ヒラシミズチョウ
奈良市,平松,ヒラマツ
奈良市,広岡町,ヒロオカチョウ
奈良市,毘沙門町,ビシャモンチョウ
奈良市,白毫寺町,ビャクゴウジチョウ
奈良市,福智院町,フクチインチョウ
奈良市,不審ヶ辻子町,フシガヅシチョウ
奈良市,藤ノ木台,フジノキダイ
奈良市,藤原町,フジワラチョウ
奈良市,船橋町,フナハシチョウ
奈良市,古市町,フルイチチョウ
奈良市,生琉里町,フルサトチョウ
奈良市,別所町,ベッシヨチョウ
奈良市,法用町,ホウヨウチョウ
奈良市,宝来,ホウライ
奈良市,宝来町,ホウライチョウ
奈良市,法蓮佐保山,ホウレンサホヤマ
奈良市,法蓮町,ホウレンチョウ
奈良市,法華寺町,ホッケジチョウ
奈良市,本子守町,ホンコモリチョウ
奈良市,坊屋敷町,ボウヤシキチョウ
奈良市,菩提山町,ボダイセンチョウ
奈良市,米谷町,マイタニチョウ
奈良市,大豆山町,マメヤマチョウ
奈良市,大豆山突抜町,マメヤマツキヌケチョウ
奈良市,丸山,マルヤマ
奈良市,山陵町,ミササギチョウ
奈良市,三碓,ミツガラス
奈良市,三碓町,ミツガラスチョウ
奈良市,三棟町,ミツムネチョウ
奈良市,南市町,ミナミイチチョウ
奈良市,南魚屋町,ミナミウオヤチョウ
奈良市,南肘塚町,ミナミカイノヅカチョウ
奈良市,南紀寺町,ミナミキデラチョウ
奈良市,南京終町,ミナミキョウバテチョウ
奈良市,南庄町,ミナミショウチョウ
奈良市,南新町（52～212番地）,ミナミシンチョウ
奈良市,南新町（1～32番地）,ミナミシンマチ
奈良市,南城戸町,ミナミジョウドチョウ
奈良市,南田原町,ミナミタワラチョウ
奈良市,南椿尾町,ミナミツバオチョウ
奈良市,南登美ヶ丘,ミナミトミガオカ
奈良市,南中町,ミナミナカマチ
奈良市,南永井町,ミナミナガイチョウ
奈良市,南半田中町,ミナミハンダナカマチ
奈良市,南半田西町,ミナミハンダニシマチ
奈良市,南半田東町,ミナミハンダヒガシマチ
奈良市,南袋町,ミナミフクロチョウ
奈良市,南風呂町,ミナミフロチョウ
奈良市,水間町,ミマチョウ
奈良市,三松,ミマツ
奈良市,三松ヶ丘,ミマツガオカ
奈良市,茗荷町,ミョウガチョウ
奈良市,餅飯殿町,モチイドノチョウ
奈良市,柳生下町,ヤギュウシモチョウ
奈良市,柳生町,ヤギュウチョウ
奈良市,薬師堂町,ヤクシドウチョウ
奈良市,八島町,ヤシマチョウ
奈良市,矢田原町,ヤダワラチョウ
奈良市,柳町,ヤナギマチ
奈良市,山町,ヤマチョウ
奈良市,油留木町,ユルギチョウ
奈良市,横井,ヨコイ
奈良市,横井町,ヨコイチョウ
奈良市,横田町,ヨコタチョウ
奈良市,来迎寺町,ライコウジチョウ
奈良市,六条,ロクジョウ
奈良市,六条町,ロクジョウチョウ
奈良市,六条西,ロクジョウニシ
奈良市,六条緑町,ロクジョウミドリマチ
奈良市,鹿野園町,ロクヤオンチョウ
奈良市,若葉台,ワカバダイ
奈良市,脇戸町,ワキドチョウ
奈良市,和田町,ワダチョウ
,,
中学校区,春日,カスガ
中学校区,三笠,ミカサ
中学校区,若草,ワカクサ
中学校区,伏見,フシミ
中学校区,富雄,トミオ
中学校区,都南,トナン
中学校区,田原,タワラ
中学校区,興東館柳生,コウトウカンヤギュウ
中学校区,登美ヶ丘,トミガオカ
中学校区,ならやま,ナラヤマ
中学校区,二名,ニミョウ
中学校区,京西,キョウセイ
中学校区,富雄南,トミオミナミ
中学校区,平城,ヘイジョウ
中学校区,飛鳥,アスカ
中学校区,登美ヶ丘北,トミガオカキタ
中学校区,都跡,ミアト
中学校区,平城東,ヘイジョウヒガシ
中学校区,月ヶ瀬,ツキガセ
中学校区,都祁,ツゲ
中学校区,富雄第三,トミオダイサン
中学校区,一条高等学校附属,イチジョウコウトウガッコウフゾク
,,
小学校区,椿井,ツバイ
小学校区,飛鳥,アスカ
小学校区,鼓阪,ツザカ
小学校区,済美,セイビ
小学校区,佐保,サホ
小学校区,大宮,オオミヤ
小学校区,都跡,ミアト
小学校区,大安寺,ダイアンジ
小学校区,東市,トウイチ
小学校区,平城,ヘイジョウ
小学校区,辰市,タツイチ
小学校区,明治,メイジ
小学校区,帯解,オビトケ
小学校区,伏見,フシミ
小学校区,富雄南,トミオミナミ
小学校区,富雄北,トミオキタ
小学校区,田原,タワラ
小学校区,柳生,ヤギュウ
小学校区,興東,コウトウ
小学校区,あやめ池,アヤメイケ
小学校区,鶴舞,ツルマイ
小学校区,鳥見,トリミ
小学校区,登美ヶ丘,トミガオカ
小学校区,六条,ロクジョウ
小学校区,青和,セイワ
小学校区,東登美ヶ丘,ヒガシトミガオカ
小学校区,二名,ニミョウ
小学校区,西大寺北,サイダイジキタ
小学校区,富雄第三,トミオダイサン
小学校区,平城西,ヘイジョウニシ
小学校区,大安寺西,ダイアンジニシ
小学校区,三碓,ミツガラス
小学校区,ならやま,ナラヤマ
小学校区,朱雀,スザク
小学校区,済美南,セイビミナミ
小学校区,鼓阪北,ツザカキタ
小学校区,伏見南,フシミミナミ
小学校区,佐保台,サホダイ
小学校区,佐保川,サホガワ
小学校区,左京,サキョウ
小学校区,月ヶ瀬,ツキガセ
小学校区,都祁,ツゲ
,,
,,
市町（奈良県）,大和高田市,ヤマトタカダシ
市町（奈良県）,大和郡山市,ヤマトコオリヤマシ
市町（奈良県）,天理市,テンリシ
市町（奈良県）,橿原市,カシハラシ
市町（奈良県）,桜井市,サクライシ
市町（奈良県）,五條市,ゴジョウシ
市町（奈良県）,御所市,ゴセシ
市町（奈良県）,生駒市,イコマシ
市町（奈良県）,香芝市,カシバシ
市町（奈良県）,葛城市,カツラギシ
市町（奈良県）,宇陀市,ウダシ
市町（奈良県）,山添村,ヤマゾエムラ
市町（奈良県）,平群町,ヘグリチョウ
市町（奈良県）,三郷町,サンゴウチョウ
市町（奈良県）,斑鳩町,イカルガチョウ
市町（奈良県）,安堵町,アンドチョウ
市町（奈良県）,川西町,カワニシチョウ
市町（奈良県）,三宅町,ミヤケチョウ
市町（奈良県）,田原本町,タワラモトチョウ
市町（奈良県）,曽爾村,ソニムラ
市町（奈良県）,御杖村,ミツエムラ
市町（奈良県）,高取町,タカトリチョウ
市町（奈良県）,明日香村,アスカムラ
市町（奈良県）,上牧町,カンマキチョウ
市町（奈良県）,王寺町,オウジチョウ
市町（奈良県）,広陵町,コウリョウチョウ
市町（奈良県）,河合町,カワイチョウ
市町（奈良県）,吉野町,ヨシノチョウ
市町（奈良県）,大淀町,オオヨドチョウ
市町（奈良県）,下市町,シモイチチョウ
市町（奈良県）,黒滝村,クロタキムラ
市町（奈良県）,天川村,テンカワムラ
市町（奈良県）,野迫川村,ノセガワムラ
市町（奈良県）,十津川村,トツカワムラ
市町（奈良県）,下北山村,シモキタヤマムラ
市町（奈良県）,上北山村,カミキタヤマムラ
市町（奈良県）,川上村,カワカミムラ
市町（奈良県）,東吉野村,ヒガシヨシノムラ
